Temperaturas[Año];Temperaturas[Mes];Temperaturas[Fecha];Temperaturas[Dengue];Temperaturas[ENOS C];Temperaturas[ENOS];Temperaturas[Añomes];Temperaturas[No. Mes];Temperaturas[Temperatura Máxima];Temperaturas[Temperatura mínima];Temperaturas[Temperatura promedio];Temperaturas[Casos leptospirosis];Temperaturas[Lluvia Acumulada];Temperaturas[Temporada *];Temperaturas[Casos ESI-IRAG];Temperaturas[FRM];Temperaturas[Familias Afectadas];Temperaturas[Inundaciones];Temperaturas[Encharcamiento];Temperaturas[Damnificados inundaciones];Temperaturas[Damnificados encharcamientos];Temperaturas[Clasificación ONI]
2019;Ene;Tue, 01 Jan 2019 00:00:00;392;Niño;0,8;2019Ene;121;25.6;3.9;14.63;2;169.4;Menos lluvioso;25;0;0;2;1;0;0;NIÑO DÉBIL
2019;Feb;Fri, 01 Feb 2019 00:00:00;130;Niño;0,8;2019Feb;122;27.4;6.2;15.45;4;394;Menos lluvioso;42;9;0;3;13;0;0;NIÑO DÉBIL
2019;Mar;Fri, 01 Mar 2019 00:00:00;103;Niño;0,8;2019Mar;123;26.9;6.8;15.42;1;840.1;Lluvioso;87;9;12;0;32;0;65;NIÑO DÉBIL
2019;Abr;Mon, 01 Apr 2019 00:00:00;177;Niño;0,7;2019Abr;124;26.2;8;15.43;3;1240.6;Lluvioso;151;25;0;0;32;0;0;NIÑO DÉBIL
2019;May;Wed, 01 May 2019 00:00:00;307;Niño;0,6;2019May;125;25;5.3;15.09;7;1295.3;Lluvioso;163;7;88;11;0;0;5;NIÑO DÉBIL
2019;Jun;Sat, 01 Jun 2019 00:00:00;168;Niño;0,5;2019Jun;126;24.8;5.8;14.79;4;766.5;Menos lluvioso;115;5;149;0;8;0;9;NIÑO DÉBIL
2019;Jul;Mon, 01 Jul 2019 00:00:00;335;Neutro;0,3;2019Jul;127;27.2;6.2;14.63;3;464.3;Menos lluvioso;66;10;0;0;7;0;0;NEUTRO
2019;Ago;Thu, 01 Aug 2019 00:00:00;182;Neutro;0,1;2019Ago;128;27.1;4.5;14.36;3;412.4;Menos lluvioso;66;7;127;0;0;0;0;NEUTRO
2019;Sep;Sun, 01 Sep 2019 00:00:00;159;Neutro;0,1;2019Sep;129;29.7;6.2;15.01;1;754.9;Menos lluvioso;55;5;9;3;16;0;4;NEUTRO
2019;Oct;Tue, 01 Oct 2019 00:00:00;130;Neutro;0,3;2019Oct;130;28.7;4.8;14.55;4;1049.7;Lluvioso;59;7;7;0;30;0;123;NEUTRO
2019;Nov;Fri, 01 Nov 2019 00:00:00;203;Niño;0,5;2019Nov;131;28.8;5.2;15.13;1;2036.2;Lluvioso;46;37;0;0;68;0;0;NIÑO DÉBIL
2019;Dic;Sun, 01 Dec 2019 00:00:00;163;Niño;0,5;2019Dic;132;28.4;5.7;15.25;6;439.7;Lluvioso;58;5;4;0;10;0;6;NIÑO DÉBIL
2020;Ene;Wed, 01 Jan 2020 00:00:00;967;Niño;0,5;2020Ene;133;28.7;3.3;15.15;9;354.2;Menos lluvioso;36;5;0;0;43;0;7;NIÑO DÉBIL
2020;Feb;Sat, 01 Feb 2020 00:00:00;188;Niño;0,6;2020Feb;134;29.1;0.7;15.36;4;1035.5;Lluvioso;72;8;0;1;44;0;2;NIÑO DÉBIL
2020;Mar;Sun, 01 Mar 2020 00:00:00;106;Niño;0,5;2020Mar;135;28;5.8;15.84;2;927.6;Lluvioso;203;4;4;0;36;0;0;NIÑO DÉBIL
2020;Abr;Wed, 01 Apr 2020 00:00:00;75;Neutro;0,3;2020Abr;136;26.4;4.8;15.64;1;736.1;Menos lluvioso;474;2;2;0;3;0;1;NEUTRO
2020;May;Fri, 01 May 2020 00:00:00;72;Neutro;0;2020May;137;25.5;7.2;15.39;0;783.3;Menos lluvioso;1784;10;6;0;1;0;0;NEUTRO
2020;Jun;Mon, 01 Jun 2020 00:00:00;52;Neutro;-0,2;2020Jun;138;24.8;7.1;14.89;3;919.3;Lluvioso;3091;8;15;0;0;0;0;NEUTRO
2020;Jul;Wed, 01 Jul 2020 00:00:00;42;Neutro;-0,4;2020Jul;139;23.9;7.4;14.57;1;1041.9;Lluvioso;5063;5;16;0;3;0;0;NEUTRO
2020;Ago;Sat, 01 Aug 2020 00:00:00;21;Neutro;-0.6;2020Ago;140;25.9;6;14.85;0;473.4;Menos lluvioso;132;3;10;0;3;0;0;NIÑO FUERTE
